Year,Month,Day,Hour,Minute,Temperature,DHI,Wind Speed,Pressure,Wind Direction,GHI,DNI,Relative Humidity
2017,1,1,0,30,19,0,1.5,1012,96,0,0,67.73
2017,1,1,1,30,19.2,0,1.5,1013,91,0,0,64.43
2017,1,1,2,30,20.8,54,1.8,1014,87,87,225,56.83
2017,1,1,3,30,23.4,116,1.9,1014,67,287,494,46.23
2017,1,1,4,30,26.1,150,2.1,1014,44,478,642,37.1
2017,1,1,5,30,28.4,168,2.2,1014,32,626,722,30.9
2017,1,1,6,30,29.7,192,2,1013,15,703,728,29.51
2017,1,1,7,30,30.4,187,2.1,1012,177,722,748,27.98
2017,1,1,8,30,30.6,176,2.2,1011,343,668,736,26.9
2017,1,1,9,30,30.3,152,2.3,1010,335,553,707,27.3
2017,1,1,10,30,29.4,124,2.1,1010,328,378,606,28.82
2017,1,1,11,30,27.2,80,1.7,1011,320,174,405,34.34
2017,1,1,12,30,25.1,7,1.5,1011,316,8,32,40.06
2017,1,1,13,30,24.2,0,1.4,1012,319,0,1,41.98
2017,1,1,14,30,23.6,0,1.4,1013,325,0,0,43.34
2017,1,1,15,30,23.1,0,1.3,1013,334,0,0,44.92
2017,1,1,16,30,22.6,0,1.4,1013,347,0,0,46.99
2017,1,1,17,30,22.1,0,1.6,1013,181,0,0,47.93
2017,1,1,18,30,21.5,0,1.9,1013,17,0,0,45.81
2017,1,1,19,30,20.7,0,2.1,1013,33,0,0,46.23
2017,1,1,20,30,19.8,0,2.2,1013,44,0,0,50.99
2017,1,1,21,30,19.1,0,2.2,1013,52,0,0,55.23
2017,1,1,22,30,18.5,0,2.2,1013,60,0,0,58.34
2017,1,1,23,30,18.3,0,2.2,1013,66,0,0,59.06
2017,1,2,0,30,17.7,0,2.2,1014,84,0,0,59.91
2017,1,2,1,30,18.1,0,2.2,1014,93,0,0,57.47
2017,1,2,2,30,19.9,51,2.5,1015,98,95,304,51.38
2017,1,2,3,30,22.7,97,2.7,1016,85,302,596,41.37
2017,1,2,4,30,25.6,121,2.8,1016,56,498,738,31.99
2017,1,2,5,30,27.7,134,2.9,1015,35,648,810,26.62
2017,1,2,6,30,29,150,2.8,1015,23,730,823,23.88
2017,1,2,7,30,29.7,151,2.7,1014,14,746,829,24.52
2017,1,2,8,30,29.9,146,2.7,1013,6,689,809,24.9
2017,1,2,9,30,29.7,136,2.9,1012,180,563,750,25.14
2017,1,2,10,30,28.9,116,2.9,1012,355,385,641,26.38
2017,1,2,11,30,26.7,78,2.6,1013,350,178,429,31.12
2017,1,2,12,30,24.5,8,2.7,1014,351,9,33,36.2
2017,1,2,13,30,23.7,0,3.1,1014,179,0,0,36.48
2017,1,2,14,30,23,0,3.4,1015,11,0,0,36.68
2017,1,2,15,30,22.2,0,3.6,1015,24,0,0,37.58
2017,1,2,16,30,21.4,0,3.5,1015,39,0,0,39.22
2017,1,2,17,30,20.5,0,3.4,1015,52,0,0,41.81
2017,1,2,18,30,19.8,0,3.3,1015,65,0,0,44.14
2017,1,2,19,30,19.2,0,3.2,1015,78,0,0,46.24
2017,1,2,20,30,18.6,0,3.2,1014,88,0,0,48.28
2017,1,2,21,30,18.2,0,3.2,1014,94,0,0,49.68
2017,1,2,22,30,17.7,0,3.4,1014,96,0,0,51.5
2017,1,2,23,30,17.5,0,3.5,1014,97,0,0,52.33
2017,1,3,0,30,17,0,3.7,1015,98,0,0,54.88
2017,1,3,1,30,17.2,0,4.1,1016,98,0,0,55.38
2017,1,3,2,30,18.7,52,4.4,1016,96,89,254,51.25
2017,1,3,3,30,21.4,110,4.6,1017,94,291,527,43.65
2017,1,3,4,30,24.5,141,4.6,1017,89,484,670,35.89
2017,1,3,5,30,27,158,4.1,1016,77,634,749,29.64
2017,1,3,6,30,28.6,166,3.6,1015,65,721,788,25.56
2017,1,3,7,30,29.5,165,3.2,1013,56,739,800,25.25
2017,1,3,8,30,29.9,158,3,1012,49,684,782,26.17
2017,1,3,9,30,29.9,132,3,1012,46,569,764,26.35
2017,1,3,10,30,29.2,111,2.7,1012,45,391,663,27.6
2017,1,3,11,30,27,75,2.2,1012,45,184,462,32.86
2017,1,3,12,30,24.8,10,2.2,1012,50,11,52,38.23
2017,1,3,13,30,23.9,0,2.5,1013,61,0,0,39.5
2017,1,3,14,30,23.2,0,2.7,1013,73,0,0,40.21
2017,1,3,15,30,22.5,0,2.9,1014,82,0,0,40.69
2017,1,3,16,30,21.7,0,2.9,1014,89,0,0,41.13
2017,1,3,17,30,20.9,0,2.8,1014,95,0,0,42.78
2017,1,3,18,30,20.2,0,2.7,1013,101,0,0,45.41
2017,1,3,19,30,19.5,0,2.7,1013,105,0,0,48.33
2017,1,3,20,30,19,0,2.7,1013,107,0,0,50.64
2017,1,3,21,30,18.4,0,2.7,1012,108,0,0,53
2017,1,3,22,30,18,0,2.7,1012,109,0,0,54.72
