Year,Month,Day,Hour,Minute,Temperature,Wind Speed,Pressure,Wind Direction,Relative Humidity,UTC,GHI
2017,1,1,0,30,19.0,1.5,1012,96,67.73,1483210800.0,0
2017,1,1,1,30,19.2,1.5,1013,91,64.43,1483214400.0,0
2017,1,1,2,30,20.8,1.8,1014,87,56.83,1483218000.0,87
2017,1,1,3,30,23.4,1.9,1014,67,46.23,1483221600.0,287
2017,1,1,4,30,26.1,2.1,1014,44,37.1,1483225200.0,478
2017,1,1,5,30,28.4,2.2,1014,32,30.9,1483228800.0,626
2017,1,1,6,30,29.7,2.0,1013,15,29.51,1483232400.0,703
2017,1,1,7,30,30.4,2.1,1012,177,27.98,1483236000.0,722
2017,1,1,8,30,30.6,2.2,1011,343,26.9,1483239600.0,668
2017,1,1,9,30,30.3,2.3,1010,335,27.3,1483243200.0,553
2017,1,1,10,30,29.4,2.1,1010,328,28.82,1483246800.0,378
2017,1,1,11,30,27.2,1.7,1011,320,34.34,1483250400.0,174
2017,1,1,12,30,25.1,1.5,1011,316,40.06,1483254000.0,8
2017,1,1,13,30,24.2,1.4,1012,319,41.98,1483257600.0,0
2017,1,1,14,30,23.6,1.4,1013,325,43.34,1483261200.0,0
2017,1,1,15,30,23.1,1.3,1013,334,44.92,1483264800.0,0
2017,1,1,16,30,22.6,1.4,1013,347,46.99,1483268400.0,0
2017,1,1,17,30,22.1,1.6,1013,181,47.93,1483272000.0,0
2017,1,1,18,30,21.5,1.9,1013,17,45.81,1483275600.0,0
2017,1,1,19,30,20.7,2.1,1013,33,46.23,1483279200.0,0
2017,1,1,20,30,19.8,2.2,1013,44,50.99,1483282800.0,0
2017,1,1,21,30,19.1,2.2,1013,52,55.23,1483286400.0,0
2017,1,1,22,30,18.5,2.2,1013,60,58.34,1483290000.0,0
2017,1,1,23,30,18.3,2.2,1013,66,59.06,1483293600.0,0
2017,1,2,0,30,17.7,2.2,1014,84,59.91,1483297200.0,0
2017,1,2,1,30,18.1,2.2,1014,93,57.47,1483300800.0,0
2017,1,2,2,30,19.9,2.5,1015,98,51.38,1483304400.0,95
2017,1,2,3,30,22.7,2.7,1016,85,41.37,1483308000.0,302
